Carimbo de data/hora,Declaro que fui devidamente esclarecido(a) e dou o meu consentimento para participar da pesquisa e para apresentação dos resultados.,"Com qual frequência você costuma ter contato com Inteligências Artificiais Generativas? Por exemplo, o ChatGPT da OpenAI, o Copilot do Github ou diversas Inteligências Artificiais Generativas de arte.","Você acredita que os impactos das Inteligências Artificiais Generativas nos meios virtuais configura-se, em sua maioria, como","Você acredita que as Inteligências Artificiais Generativas funcionam efetivamente? Por exemplo, você recebe conteúdos relacionados as suas pretensões ao realizar um pedido a uma  Inteligência Artificial Generativa.","Você acredita que as Inteligências Artificiais Generativas operam de acordo com uma regulamentação legal? Por exemplo, os dados coletados, durante o uso das Inteligências Artificiais Generativas, não ferem o seu direito a privacidade.","Você acredita que as Inteligências Artificiais Generativas têm o potencial de criar desafios adicionais para a detecção e a prevenção de crimes cibernéticos? Por exemplo, não é mais possível distinguir completamente imagens geradas por Inteligências Artificiais Generativas de imagens reais.","Você ouve falar frequentemente de crimes cibernéticos facilitados pelo uso de Inteligências Artificiais Generativas? Por exemplo, a falsificação de imagens ou geração de conteúdo malicioso utilizando  Inteligências Artificiais Generativas.","Você acredita que o aumento do uso de  Inteligências Artificiais Generativas está relacionado a um aumento nos crimes cibernéticos? Por exemplo, os índices de fraudes aumentaram devido em conjunto com as Inteligências Artificiais Generativas.","Você vê algum benefício potencial no uso de  Inteligências Artificiais Generativas para combater crimes cibernéticos? Por exemplo, como a automação de processos de resposta a incidentes.","Se possível, nos conte mais sobre as suas experiências com Inteligências Artificiais Generativas."
27/04/2024 12:53:25,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,2,5,5,5,4,
27/04/2024 15:57:43,"Sim, apresento o meu consentimento.",Muita.,Neutro.,2,2,5,5,5,2,
27/04/2024 16:03:05,"Sim, apresento o meu consentimento.",Pouca.,Negativo.,3,3,2,5,4,3,
27/04/2024 16:14:49,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,2,4,4,2,4,
27/04/2024 16:54:52,"Sim, apresento o meu consentimento.",Pouca.,Positivo.,3,2,4,4,4,4,
27/04/2024 19:03:37,"Sim, apresento o meu consentimento.",Nenhuma.,Negativo.,2,2,2,3,3,3,
29/04/2024 15:49:10,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,1,2,5,3,4,
29/04/2024 15:53:22,"Sim, apresento o meu consentimento.",Razoável.,Positivo.,4,3,4,4,5,3,
29/04/2024 15:53:22,"Sim, apresento o meu consentimento.",Razoável.,Neutro.,4,2,5,5,3,4,
29/04/2024 15:55:41,"Sim, apresento o meu consentimento.",Muita.,Neutro.,3,3,3,3,3,3,
29/04/2024 15:56:58,"Sim, apresento o meu consentimento.",Muita.,Positivo.,3,2,4,3,3,4,
29/04/2024 15:59:46,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,1,5,4,4,5,Uso o chat gpt para trabalho e acredito que ele é um ótimo aliado. 
29/04/2024 16:00:15,"Sim, apresento o meu consentimento.",Razoável.,Positivo.,2,2,3,4,4,3,
29/04/2024 16:00:56,"Sim, apresento o meu consentimento.",Razoável.,Neutro.,4,4,4,1,2,4,
29/04/2024 16:02:03,"Sim, apresento o meu consentimento.",Muita.,Neutro.,4,2,5,4,2,5,
29/04/2024 16:07:37,"Sim, apresento o meu consentimento.",Muita.,Negativo.,4,2,4,3,2,4,
29/04/2024 16:08:02,"Sim, apresento o meu consentimento.",Muita.,Negativo.,4,2,5,5,3,3,
29/04/2024 16:12:51,"Sim, apresento o meu consentimento.",Nenhuma.,Neutro.,5,3,2,2,3,4,
29/04/2024 16:13:21,"Sim, apresento o meu consentimento.",Muita.,Positivo.,5,2,5,3,2,5,
29/04/2024 16:16:25,"Sim, apresento o meu consentimento.",Muita.,Positivo.,2,3,4,4,3,5,Utilizo inteligência artificial para automatizar muitos processos 
29/04/2024 16:24:16,"Sim, apresento o meu consentimento.",Muita.,Neutro.,4,1,5,1,3,5,
29/04/2024 16:26:58,"Sim, apresento o meu consentimento.",Muita.,Neutro.,3,2,3,4,3,4,
29/04/2024 16:27:27,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,3,4,5,4,4,
29/04/2024 16:30:01,"Sim, apresento o meu consentimento.",Razoável.,Neutro.,3,2,5,4,2,3,
29/04/2024 16:34:09,"Sim, apresento o meu consentimento.",Razoável.,Positivo.,3,3,4,2,3,5,
29/04/2024 16:46:42,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,2,5,3,3,3,
29/04/2024 16:56:37,"Sim, apresento o meu consentimento.",Muita.,Positivo.,4,4,4,3,3,3,"Tenho utilizado bastante para a busca de soluções comuns de maneira rápida, evitando uma busca mais aprofundada em assuntos ou buscar em outros motores de buscas. Com relação as gerações de imagens, vídeos e voz, tem tido uma leve estranheza no resultado atual, pois ainda não tem relações e nuances com emoção, respiração, tonalidade, tornando-se algo ainda robótico. Entretanto, já utilizei para servir de inspiração para criação de logos. "
29/04/2024 17:00:19,"Sim, apresento o meu consentimento.",Muita.,Negativo.,4,2,2,2,3,4,
29/04/2024 17:00:41,"Sim, apresento o meu consentimento.",Muita.,Positivo.,3,1,5,2,4,5,
29/04/2024 17:01:39,"Sim, apresento o meu consentimento.",Muita.,Negativo.,4,1,5,4,2,5,
